FY​,No.​,Client​,Project Name​,"Total Contract​
Value​",Presales​,13-Apr​,9-Apr​,2-Apr​,19-Mar​,13-Mar​,Next Action​
FY26前​,2​,"Manabie (JPN)​
​",PMサービスとシナリオテスト​,"1,600,000円/月​",TASUHITO​,06​,06​,06​,06​,06​,現在、5月の計画について、加藤さんからの情報を待っている状況です。​
FY26前​,3​,"Manabie (JPN)​
自動化案件​", ​,TBD​, ​,80​,80​,80​,80​,80​,"最近、シニアレベルのオートメーションエンジニアを1名採用しました。​
ただし、現行のオートメーションフレームワークはまだ安定していない状況のため、現時点では大規模にオートメーションテストを拡張することは検討していません。​"
FY26前​,5​,Co2 Kommunikation (SWD)​,Web-Appテスト​,"500,000円/月​",MIKKI​, ​,03​,03​,03​,03​,NDAと月額費用の概算見積りドラフトを作成し、送付済みです。現在、お客様からのフィードバック待ちです。​
FY26前​,6​,Belmont Vietnam (JPN)​,生産計画と欠品の自動化​,"¥1,200,000​",AKASHI​,03​,03​,03​,03​,03​,ハンさんがすでにレポートを提出しており、Hório 社長のフィードバックを待っている状況です。​
FY26​,9​,Xitep (Sri Lanka)​,Platformのソフトウェア開発​,"¥57,700,000​",PETER​,03​,03​,03​,01​,01​,4月20日に、ShiftAsiaオフィスにてXitep社とのミーティングを実施しました。​
FY26​,14​,LNP​,TBD​,TBD​,TBD​,01​,​,01​,01​,01​,書類の配送について、途中で行き違いが発生している可能性があります。この点について、改めて確認を行います。​
FY26​,16​,BitCoin​,ビットコインプラットフォームの手動テスト​, ​,"Kelly, Alvin​",06​,06​,06​,06​,06​,"Lutherチームがプロジェクトのビジネスフローを分析し、AIの活用が可能なポイントや、必要となるツールについて提案をまとめました。​
来週、Bitcoinチームと社内ミーティングを行い、実現可能性や試験的な導入について検討するです。​"
FY26​,17​,Vertext Development​,TBD​,TBD​, ​,01​,01​,01​,01​, ​,NDAを送付済みですが、顧客から未返信のため、リマインドメールを送信予定です。併せて、対応予定プロジェクトの詳細確認も行います​
FY26​,18​,Kaito Fujimoto​,Mobile アプリ​,TBD​,Peter​,01​,01​,01​, ​, ​,見積内容に関するリマインドメールを送付済、会社情報や契約内容など、プロジェクトに関する情報を確認しました。​
FY26​,19​,BLVP (Peresypkin)​,モバイルデバイステスト​,TBD​, ​,01​,01​,01​, ​, ​,モバイルデバイス向けテストサービスについて問い合わせがありました。要件確認のためメールを送付しましたが、未返信のため、直接お電話にて確認予定です。​
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
